[2020-03-20 08:26:13.638][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:14.030][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:14.349][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:14.681][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:15.075][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:15.471][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:15.793][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:16.203][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:16.597][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:16.991][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:17.322][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:17.709][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:18.078][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:18.470][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:18.787][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:19.100][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:19.440][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:19.831][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:20.166][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:20.556][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:20.957][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:21.355][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:21.762][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:22.170][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:22.557][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:22.955][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:23.353][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:23.747][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:24.067][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:24.377][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:24.713][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:25.125][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:25.518][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:26:25.909][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
